#Table1
ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237645942898230097,40.5793475271779,0.182010176680141,-3.760376E-05,22.33025,22.16315,21.5689,21.88052,16.895,15.673,22.30054,22.14044,21.56878,12.7,0.452,9999,9999,9999,9999,9999,9999,23.45584,1.570309
1237649919508742496,29.3644585406425,13.3265514876145,-0.151343,21.96974,21.76619,21.63129,20.96899,17.573,15.876,21.96403,21.74573,21.62692,12.493,0.406,9999,9999,9999,9999,9999,9999,22.43309,0.7271678
1237649954405155462,23.4917888694273,14.5294091123481,-27.72504,22.69162,20.80834,19.94251,19.78168,15.586,15.314,23.72635,21.63118,20.95157,12.074,0.237,9999,9999,9999,9999,9999,9999,25.22437,1.290793
1237652900211524103,0.660073707758826,-10.1971733785852,-0.65971,21.82844,20.25626,20.03687,19.85782,17.053,16.357,21.8041,20.25645,20.04499,12.046,0.311,9999,9999,9999,9999,9999,9999,26.16051,3.942832
1237652900759404557,26.1520699844407,-9.25619269594724,-6.162072,18.1746,18.31636,18.20823,18.33771,13.849,12.739,18.16919,18.33682,18.2364,9.993,0.04,9999,9999,9999,9999,9999,9999,18.50738,0.6408954
1237652900763861519,36.4490094135926,-8.40710896488573,-48.6837,21.98774,20.74938,19.74546,19.4855,15.09,14.448,22.87503,21.74724,20.79036,10.852,0.073,9999,9999,9999,9999,9999,9999,24.82961,0.7047936
1237652901830983778,21.1732763640321,-8.72606913037077,-8.017066,18.54437,18.60763,18.44529,18.63373,14.044,12.919,18.54859,18.64689,18.49289,10.078,0.051,9999,9999,9999,9999,9999,9999,18.88703,0.6295872
1237652947995394051,15.3042974940871,-9.46170706738118,-3.158093,16.29112,16.3153,16.42745,15.90336,12.27,11.237,16.29563,16.32689,16.43675,8.912,0.03,15.5,0.045,14.766,0.066,13.967,0.057,16.43014,0.3569269
1237652948532527262,15.9076991365825,-9.05710568306593,-0.05196843,18.94874,18.72093,18.76716,18.505,14.652,13.424,18.95282,18.73201,18.77353,10.971,0.155,9999,9999,9999,9999,9999,9999,19.22535,0.9360364
1237653500970074265,38.358010912738,-8.90395923752027,-0.03289039,19.58091,19.40588,19.24116,19.25227,15.951,14.52,19.60069,19.40181,19.23273,11.638,0.136,9999,9999,9999,9999,9999,9999,19.73273,1.479299
1237653501507272753,39.0137202220294,-8.37309499613519,-0.1413369,19.19808,19.15809,18.95649,18.96318,15.782,14.556,19.20763,19.16402,18.96956,11.298,0.106,9999,9999,9999,9999,9999,9999,19.40777,1.612509
1237656512815956251,21.4223324625264,0.215167602759326,-3.870028,20.84784,20.37527,20.10214,19.6593,16.201,15.671,21.04895,20.64231,20.38682,12.834,9999,9999,9999,9999,9999,9999,9999,21.11255,0.3544069
1237656971300307236,9.03504421582971,-0.543820778357952,-0.2699962,21.07307,20.83722,20.87385,20.49518,16.632,15.322,21.13673,20.89509,20.92785,12.301,9999,9999,9999,9999,9999,9999,9999,21.20894,1.16295
1237656971300438204,9.29868174023403,-0.487773123753755,-0.3938304,21.96135,21.81256,21.67109,21.22095,17.074,16.15,21.9709,21.79974,21.6772,12.325,9999,9999,9999,9999,9999,9999,9999,21.97868,0.8560365
1237657065256190181,18.2528484967872,-3.34681912390843,-29.32764,20.42859,20.03934,20.05771,20.17189,16.221,14.926,20.46619,20.06203,20.10596,12.023,9999,9999,9999,9999,9999,9999,9999,20.44204,1.249116
1237657065256190251,18.3443426802989,-3.29314050368344,-0.02057566,22.0887,21.92665,21.61845,22.12467,16.872,16.435,22.09573,21.91615,21.65075,12.603,9999,9999,9999,9999,9999,9999,9999,21.95732,1.371476
1237657066329276766,16.7353097747314,-2.45640927631139,-3.20783,20.5532,20.31015,20.17568,19.94205,15.923,14.683,20.61299,20.37894,20.28473,12.091,0.334,9999,9999,9999,9999,9999,9999,20.99036,0.6653029
1237657066330063064,18.6443159659111,-2.44289405949457,-0.03636939,21.60638,21.58853,21.14959,20.54156,16.219,16.052,21.58979,21.56027,21.11241,12.206,0.383,9999,9999,9999,9999,9999,9999,22.05559,0.6891837
1237657067402035326,14.4743757141808,-1.66225580878645,-0.0330247,21.81566,21.97626,21.64888,22.10656,16.519,16.041,21.86747,22.04232,21.74739,11.769,0.285,9999,9999,9999,9999,9999,9999,21.66336,1.86311
1237657067403936719,18.9167266870946,-1.78621134682252,-0.2243178,23.99481,22.59579,21.13661,19.98998,15.588,15.254,24.52112,23.23531,22.07932,12.422,0.514,9999,9999,9999,9999,9999,9999,23.38201,6.410512
1237657067940544754,18.2302356688254,-1.33776014316988,-0.04840601,20.08828,19.84388,19.81583,19.67546,15.881,14.546,20.1403,19.87069,19.84108,12.345,0.423,9999,9999,9999,9999,9999,9999,20.12946,1.198693
1237657069549453577,29.610506563455,-0.860246779978516,-0.3533622,20.45748,20.39761,20.0647,20.01793,15.675,14.933,20.4798,20.40747,20.06722,12.168,0.241,9999,9999,9999,9999,9999,9999,20.76374,1.714942
