#Table1
ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237649918427004965,10.5734138675575,13.8709773012203,-178.4836,15.95227,15.30059,15.08865,14.98511,13.555,13.624,15.94969,15.31297,15.09294,11.987,9999,14.113,0.034,13.72,0.035,13.615,0.035,17.6827,-0.0002383274
1237649918427070483,10.7652692010086,13.7885916548391,-73.71976,16.24094,15.6313,15.43697,15.33327,13.932,13.947,16.25152,15.63062,15.43626,12.261,9999,14.482,0.039,14.056,0.042,13.93,0.042,17.80628,-0.0001496401
1237649918964269129,11.5094171382201,14.1302504705223,-94.35302,16.68913,15.74215,15.36196,15.13191,13.166,13.252,16.69237,15.72733,15.37664,12.112,9999,13.983,0.029,13.357,0.035,13.258,0.031,18.98261,-0.0004461163
1237649918964531382,12.1192821575925,14.2393852410606,-0.1877258,21.10751,19.37911,18.1683,17.38621,15.004,14.762,21.09176,19.36872,18.16552,12.659,9999,16.148,0.082,15.431,0.106,14.908,0.103,22.94663,0.0001591143
1237649919500091485,9.04796035870049,14.61301209494,-0.7407472,18.93975,18.47752,18.26992,18.17452,16.911,16.929,18.94741,18.48614,18.27252,12.116,0.327,9999,9999,9999,9999,9999,9999,20.01101,-0.0009294747
1237649919500484646,10.0276513079357,14.6544932296289,-71.79274,16.39443,15.77813,15.54367,15.41965,13.975,14.062,16.41356,15.79106,15.53412,11.83,0.252,14.523,0.032,14.094,0.035,14.039,0.052,17.87286,-6.049279E-05
1237649919500943503,11.0903418856822,14.6105283185476,-7.818191,17.97219,16.99802,16.64657,16.43472,14.622,14.762,17.98234,16.99806,16.64545,12.184,9999,15.355,0.063,14.846,0.077,14.687,0.109,20.36568,-0.0001561178
1237649919502975145,15.9121920360938,14.4274750208261,-2472.661,18.61098,17.58296,16.71354,16.16138,13.909,13.74,18.88412,17.88745,16.96829,12.314,9999,14.938,0.04,14.321,0.046,14.113,0.079,20.28039,-5.49376E-05
1237649919503106194,16.20555593506,14.4526667357832,-0.144857,18.62447,18.30793,18.20376,18.14442,17.293,17.062,18.61843,18.30206,18.20086,12.916,9999,9999,9999,9999,9999,9999,9999,19.51326,0.0003453737
1237649920037224484,9.74258991246228,15.0443055545539,-2.675569,17.26443,16.86642,16.70528,16.63649,15.467,15.652,17.26335,16.90693,16.71373,12.471,0.413,15.791,0.061,15.594,0.095,15.707,0.223,18.28341,-0.001012798
